month,temp,max_temp,ext_max_temp,min_temp,ext_min_temp
2005-01,-2.5,1.5,7.3,-6.2,-11
2005-02,-1.9,2.2,10.5,-5.5,-13.1
2005-03,4.1,8.8,17.6,0.2,-6.5
2005-04,13.2,18.1,29.8,8.9,4.1
2005-05,17.7,22.9,30.2,13,6.3
2005-06,22.7,27.3,32,19.1,15.5
2005-07,25.3,28.8,34.2,22.7,18.3
2005-08,25.1,28.7,35,22.4,16.5
2005-09,21.8,25.7,30.8,18.6,13.8
2005-10,14.7,19.4,24.9,10.7,3
2005-11,8.6,12.9,21.8,4.6,-1.1
2005-12,-3.9,-0.1,11.1,-7.4,-14
2006-01,-0.2,3.4,9.3,-3.3,-10.1
2006-02,0.1,4.2,11.5,-4,-14.1
2006-03,5.2,9.9,17.2,0.9,-6.9
2006-04,11.6,16.2,22.2,7.7,2.9
2006-05,18.4,23.4,28.3,14,10.8
2006-06,21.8,26.3,32.4,18.1,14.1
2006-07,23.1,26,30.1,20.9,17.5
2006-08,27,31.1,34.7,23.9,20.8
2006-09,21.1,25.7,30.3,16.9,11.3
2006-10,17.9,22.6,27.5,13.9,7.9
2006-11,8.4,12.4,20.2,4.5,-1.3
2006-12,1.4,5.4,12.6,-2,-12.3
2007-01,0.4,4.1,11.8,-2.8,-7.6
2007-02,4,8.7,14.8,0.1,-8.6
2007-03,6.1,10.3,16.2,2.3,-7.6
2007-04,11.4,16.1,22.5,7.5,1.6
2007-05,18.1,23.4,30.1,13.6,9
2007-06,23.2,27.7,33.2,19.2,14.1
2007-07,24.2,27.8,31.2,21.3,17.7
2007-08,26.5,29.9,33.2,23.8,19.8
2007-09,21.5,25.1,31.1,18.6,14.1
2007-10,15.1,19.6,26.2,11.3,3.2
2007-11,6.7,11.4,19.3,2.8,-5.5
2007-12,1.8,5.4,13.8,-1.4,-7.4
2008-01,-1.7,1.9,7.3,-5,-11.1
2008-02,-1.2,3.2,10.5,-4.9,-10.1
2008-03,7.3,11.9,19.8,3.7,-1.7
2008-04,14.1,19.5,28,9.3,3.8
2008-05,17.7,22.7,28.5,13.1,8.1
2008-06,21.5,26.1,29.6,17.6,13.7
2008-07,25.1,28.4,32.9,22.6,20.2
2008-08,25.3,29.5,35.4,21.8,16.3
2008-09,22,26.9,32,18,10.3
2008-10,16.1,21,28.3,12.1,5.6
2008-11,7.6,11.7,18.4,3.8,-7.2
2008-12,1.1,5,13.3,-2.7,-13.1
2009-01,-2,2.3,12.2,-5.5,-11.4
2009-02,2.9,6.8,16.1,-0.6,-8.6
2009-03,6,10.6,22.2,1.8,-3.3
2009-04,12.7,18,25.8,8.1,2.2
2009-05,19.1,24.3,31,14.6,9.8
2009-06,22.4,26.7,32.4,18.8,14.3
2009-07,24.3,28.2,32.4,21,18.7
2009-08,25.7,29.5,34.4,22.4,16.4
2009-09,21.8,26.3,29.9,17.7,14.4
2009-10,16,20.9,26.4,11.7,6.2
2009-11,6.9,10.4,21.8,3.7,-4.3
2009-12,-1,2.5,10.1,-4.2,-12.9
2010-01,-4.5,-0.7,8.4,-8.1,-15.3
2010-02,1.4,4.9,17.9,-1.7,-10.8
2010-03,4.3,8.1,14.2,0.5,-4
2010-04,9.5,14,20.7,5.6,1.1
2010-05,17.2,22,28.6,13,5.8
2010-06,23.4,28.2,32.7,19.3,12.1
2010-07,25.8,29.3,32.3,23.1,21
2010-08,26.5,30,33.8,23.8,19.9
2010-09,21.8,26,31.4,18.5,8.4
2010-10,14.5,19.3,24.2,10.4,0.7
2010-11,6.5,11.3,17.4,2.5,-5.2
2010-12,-1.3,3.1,13.5,-5.1,-15.1
2011-01,-7.2,-3.4,0.3,-10.5,-17.8
2011-02,1.2,5.9,13.2,-2.5,-9.2
2011-03,3.6,8.3,16.8,-0.1,-5.5
2011-04,10.7,15.6,19,6.8,4.3
2011-05,17.9,23,31.2,13.6,8.5
2011-06,22,26.6,32.9,18.4,14.4
2011-07,24.6,28,34.1,22,18.9
2011-08,25.8,29.5,34.1,23,18.1
2011-09,21.8,26.6,32.4,17.7,10.3
2011-10,14.2,19.3,23.4,9.7,3.1
2011-11,10.7,14.7,25.9,7.2,-5.5
2011-12,-0.9,2.9,9.1,-4.1,-10.6
2012-01,-2.8,1.3,8.4,-6.3,-12.2
